model_variant,dataset_fraction,resolution,dataset_size,epochs,batch_size,device,device_name,timestamp,mAP50,mAP50_95,precision,recall,f1,flops,params,model_size_mb,inference_time_ms,inference_std_ms,fps,gpu_memory_mb,train_loss,val_loss
yolo11n.pt,1.0,416,7181,1,32,cuda,NVIDIA A2,2026-02-10 13:13:01,0.00438268544385647,0.002254409775404893,0.0081374321880651,0.07245543415756182,0.0,1397278480.0,2624080.0,5.274301528930664,6.403341293334961,0.4468843795880853,156.16846802166688,215.48828125,0.0,0.0
yolo11n.pt,1.0,640,7181,1,32,cuda,NVIDIA A2,2026-02-10 13:13:23,0.0016084410153676656,0.0008233979623857317,0.002972504334902155,0.027602070155261643,0.0,3307168000.0,2624080.0,5.302011489868164,6.809573173522949,0.11666326689234448,146.85208228442426,430.49853515625,0.0,0.0
yolo11n.pt,1.0,1280,7181,1,16,cuda,NVIDIA A2,2026-02-10 13:13:55,0.0008254792947410632,0.00034545985914421064,0.0016215339711366952,0.017251293847038527,0.0,13228672000.0,2624080.0,5.446660041809082,23.5701847076416,0.361225927722299,42.42648126876128,1519.96435546875,0.0,0.0
yolo11s.pt,1.0,416,7181,1,32,cuda,NVIDIA A2,2026-02-10 13:14:16,0.0028373367909255,0.0013463784742392623,0.005389184885786025,0.05060379528464635,0.0,4588006592.0,9458752.0,18.297433853149414,7.218351364135742,1.3645346365883348,138.53578879084264,378.4462890625,0.0,0.0
yolo11s.pt,1.0,640,7181,1,32,cuda,NVIDIA A2,2026-02-10 13:14:38,0.0011366272560448915,0.00047578232864436455,0.00222262269477984,0.02127659574468085,0.0,10859187200.0,9458752.0,18.325143814086914,12.206454277038574,0.7116369255333738,81.92387218302115,765.9638671875,0.0,0.0
yolo11s.pt,1.0,1280,7181,1,16,cuda,NVIDIA A2,2026-02-10 13:15:28,0.000913613455636151,0.0005522238389653324,0.0017853499285860029,0.020126509488211614,0.0,43436748800.0,9458752.0,18.469792366027832,45.572171211242676,0.6642079779653054,21.943216077299812,2727.951171875,0.0,0.0
yolo11m.pt,1.0,416,7181,1,32,cuda,NVIDIA A2,2026-02-10 13:15:53,0.0024804458270659673,0.0010486208795786006,0.0047655518679261336,0.03220241518113859,0.0,14476621120.0,20114688.0,38.65786933898926,13.943524360656738,0.16834132563638704,71.71787950696421,695.08447265625,0.0,0.0
yolo11m.pt,1.0,640,7181,1,32,cuda,NVIDIA A2,2026-02-10 13:16:26,0.0012502711832413787,0.0005111467332524717,0.002442188811722506,0.018401380103507763,0.0,34264192000.0,20114688.0,38.68557929992676,25.983023643493652,0.3027815788970171,38.48666782283469,1427.56884765625,0.0,0.0
yolo11m.pt,1.0,1280,7181,1,16,cuda,NVIDIA A2,2026-02-10 13:18:01,0.0004924016491440408,0.0001791457442866681,0.0009764943851572854,0.008050603795284647,0.0,137056768000.0,20114688.0,38.830342292785645,97.66468048095703,0.6187201217118322,10.239116076307475,5132.78076171875,0.0,0.0
yolo11l.pt,1.0,416,7181,1,32,cuda,NVIDIA A2,2026-02-10 13:18:27,0.002820355508096109,0.0012395693831282824,0.005463883728554256,0.02875215641173088,0.0,18508350016.0,25372160.0,48.797990798950195,18.202128410339355,0.61266157207813,54.93863011272737,807.70166015625,0.0,0.0
yolo11l.pt,1.0,640,7181,1,32,cuda,NVIDIA A2,2026-02-10 13:19:07,0.0009203614367368806,0.0003226026787778207,0.0018190086402910413,0.009200690051753882,0.0,43806745600.0,25372160.0,48.825700759887695,32.90250778198242,0.23347973268149913,30.39282010435706,1655.59619140625,0.0,0.0
yolo11l.pt,1.0,1280,7181,1,16,cuda,NVIDIA A2,2026-02-10 13:21:04,0.00047794775074408804,0.00019695892632803062,0.0009487666034155598,0.004600345025876941,0.0,175226982400.0,25372160.0,48.97075366973877,127.08980083465576,0.4674640627096748,7.868452019222244,5941.49169921875,0.0,0.0
yolo11x.pt,1.0,416,7181,1,32,cuda,NVIDIA A2,2026-02-10 13:21:41,0.0026281438232667303,0.0011762989717125322,0.005041310740792606,0.020701552616446232,0.0,41396282304.0,56966176.0,109.02876472473145,30.374393463134766,0.21146696940752224,32.92246810504034,1254.134765625,0.0,0.0
yolo11x.pt,1.0,640,7181,1,32,cuda,NVIDIA A2,2026-02-10 13:22:46,0.0006369153861141055,0.0003001606649671298,0.0012342631449024932,0.005750431282346176,0.0,97979366400.0,56966176.0,109.05647468566895,61.781792640686035,0.4609174639361561,16.185998451288963,2502.7353515625,0.0,0.0
yolo11x.pt,1.0,1280,7181,1,16,cuda,NVIDIA A2,2026-02-10 13:26:18,0.0005159768829464447,0.00023890436244485051,0.0010246856078248718,0.0063254744105807935,0.0,391917465600.0,56966176.0,109.20152759552002,225.64356803894043,1.0109812985585644,4.431768247111857,8824.30712890625,0.0,0.0
